product_category,product_name,sub_type,customer_segment,interest_rate_pa,rate_type,processing_fee,prepayment_charges,minimum_amount_inr,maximum_amount_inr,tenure_min_months,tenure_max_months,effective_date,notes
Fixed Deposit,NovaNorth Super FD,7-14 days,Regular Customer,4.75,Fixed,NIL,1% penalty on applicable rate,5000,99999999,7,14,01-Apr-2025,Senior citizen rate: 5.25% p.a.
Fixed Deposit,NovaNorth Super FD,7-14 days,Senior Citizen (60+),5.25,Fixed,NIL,1% penalty on applicable rate,5000,99999999,7,14,01-Apr-2025,Additional 0.50% over regular rate
Fixed Deposit,NovaNorth Super FD,15-45 days,Regular Customer,5.0,Fixed,NIL,1% penalty on applicable rate,5000,99999999,15,45,01-Apr-2025,Senior citizen rate: 5.5% p.a.
Fixed Deposit,NovaNorth Super FD,15-45 days,Senior Citizen (60+),5.5,Fixed,NIL,1% penalty on applicable rate,5000,99999999,15,45,01-Apr-2025,Additional 0.50% over regular rate
Fixed Deposit,NovaNorth Super FD,46-90 days,Regular Customer,5.5,Fixed,NIL,1% penalty on applicable rate,5000,99999999,46,90,01-Apr-2025,Senior citizen rate: 6.0% p.a.
Fixed Deposit,NovaNorth Super FD,46-90 days,Senior Citizen (60+),6.0,Fixed,NIL,1% penalty on applicable rate,5000,99999999,46,90,01-Apr-2025,Additional 0.50% over regular rate
Fixed Deposit,NovaNorth Super FD,91-180 days,Regular Customer,6.0,Fixed,NIL,1% penalty on applicable rate,5000,99999999,91,180,01-Apr-2025,Senior citizen rate: 6.5% p.a.
Fixed Deposit,NovaNorth Super FD,91-180 days,Senior Citizen (60+),6.5,Fixed,NIL,1% penalty on applicable rate,5000,99999999,91,180,01-Apr-2025,Additional 0.50% over regular rate
Fixed Deposit,NovaNorth Super FD,181-364 days,Regular Customer,6.5,Fixed,NIL,1% penalty on applicable rate,5000,99999999,181,364,01-Apr-2025,Senior citizen rate: 7.0% p.a.
Fixed Deposit,NovaNorth Super FD,181-364 days,Senior Citizen (60+),7.0,Fixed,NIL,1% penalty on applicable rate,5000,99999999,181,364,01-Apr-2025,Additional 0.50% over regular rate
Fixed Deposit,NovaNorth Super FD,1 year,Regular Customer,7.0,Fixed,NIL,1% penalty on applicable rate,5000,99999999,365,365,01-Apr-2025,Senior citizen rate: 7.5% p.a.
Fixed Deposit,NovaNorth Super FD,1 year,Senior Citizen (60+),7.5,Fixed,NIL,1% penalty on applicable rate,5000,99999999,365,365,01-Apr-2025,Additional 0.50% over regular rate
Fixed Deposit,NovaNorth Super FD,1-2 years,Regular Customer,7.0,Fixed,NIL,1% penalty on applicable rate,5000,99999999,366,730,01-Apr-2025,Senior citizen rate: 7.5% p.a.
Fixed Deposit,NovaNorth Super FD,1-2 years,Senior Citizen (60+),7.5,Fixed,NIL,1% penalty on applicable rate,5000,99999999,366,730,01-Apr-2025,Additional 0.50% over regular rate
Fixed Deposit,NovaNorth Super FD,2-3 years,Regular Customer,7.1,Fixed,NIL,1% penalty on applicable rate,5000,99999999,731,1095,01-Apr-2025,Senior citizen rate: 7.6% p.a.
Fixed Deposit,NovaNorth Super FD,2-3 years,Senior Citizen (60+),7.6,Fixed,NIL,1% penalty on applicable rate,5000,99999999,731,1095,01-Apr-2025,Additional 0.50% over regular rate
Fixed Deposit,NovaNorth Super FD,3-5 years,Regular Customer,7.0,Fixed,NIL,1% penalty on applicable rate,5000,99999999,1096,1825,01-Apr-2025,Senior citizen rate: 7.5% p.a.
Fixed Deposit,NovaNorth Super FD,3-5 years,Senior Citizen (60+),7.5,Fixed,NIL,1% penalty on applicable rate,5000,99999999,1096,1825,01-Apr-2025,Additional 0.50% over regular rate
Fixed Deposit,NovaNorth Super FD,5-10 years,Regular Customer,6.8,Fixed,NIL,1% penalty on applicable rate,5000,99999999,1826,3650,01-Apr-2025,Senior citizen rate: 7.3% p.a.
Fixed Deposit,NovaNorth Super FD,5-10 years,Senior Citizen (60+),7.3,Fixed,NIL,1% penalty on applicable rate,5000,99999999,1826,3650,01-Apr-2025,Additional 0.50% over regular rate
